Name,Code,pop_growth,pop,area
Brazil ,BRA,0.817556,2.08E+08,8358140
Switzerland ,CHE,1.077221,8.37E+06,39516
Germany ,DEU,1.193867,8.26E+07,348900
Denmark ,DNK,0.834638,,42262
Spain ,ESP,-0.008048,4.64E+07,500210
France ,FRA,0.407491,6.68E+07,547557
Japan ,JPN,-0.115284,1.26E+08,364560
Greece ,GRC,0.687543,1.07E+07,128900
Iran ,IRN,1.148789,8.02E+07,1628760
Kuwait ,KWT,2.924206,4.05E+06,
Morocco ,MAR,,3.52E+07,446300
Nigeria ,NGA,2.619034,1.85E+08,910770
Qatar ,QAT,3.49507,2.56E+06,11610
Sweden ,SWE,,9.90E+06,407310
India ,IND,1.148215,1.32E+09,297190
Iran ,IRN,1.148789,8.02E+07,1628760
